type,name,file,line,citation,source,priority,classification,evidence,notes,suggested_action
symbol,GardenNotFoundException,lib/core/repositories/garden_repository.dart,186,12†lib\core\repositories\garden_repository.dart:186,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,GardenLimitException,lib/core/repositories/garden_repository.dart,191,12†lib\core\repositories\garden_repository.dart:191,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""2"", ""snippet"": ""export 'garden_repository.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,minGardens,lib/core/repositories/garden_rules.dart,24,12†lib\core\repositories\garden_rules.dart:24,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""3"", ""snippet"": ""export 'garden_rules.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,remainingCount,lib/core/repositories/garden_rules.dart,54,12†lib\core\repositories\garden_rules.dart:54,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""3"", ""snippet"": ""export 'garden_rules.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,validateGardenData,lib/core/repositories/garden_rules.dart,66,12†lib\core\repositories\garden_rules.dart:66,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""3"", ""snippet"": ""export 'garden_rules.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,calculateValidationStats,lib/core/repositories/garden_rules.dart,158,12†lib\core\repositories\garden_rules.dart:158,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""3"", ""snippet"": ""export 'garden_rules.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,canAddMore,lib/core/repositories/garden_rules.dart,166,12†lib\core\repositories\garden_rules.dart:166,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""3"", ""snippet"": ""export 'garden_rules.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,canRemove,lib/core/repositories/garden_rules.dart,167,12†lib\core\repositories\garden_rules.dart:167,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""3"", ""snippet"": ""export 'garden_rules.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,remainingSlots,lib/core/repositories/garden_rules.dart,168,12†lib\core\repositories\garden_rules.dart:168,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""3"", ""snippet"": ""export 'garden_rules.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,ValidationResult,lib/core/repositories/garden_rules.dart,184,12†lib\core\repositories\garden_rules.dart:184,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""3"", ""snippet"": ""export 'garden_rules.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,GardenValidationStats,lib/core/repositories/garden_rules.dart,204,12†lib\core\repositories\garden_rules.dart:204,unused_symbols,high,needs_manual,"[{""kind"": ""barrel_export"", ""file"": ""lib/core/repositories/index.dart"", ""line"": ""3"", ""snippet"": ""export 'garden_rules.dart';""}]",export missing; exported_via_barrel(1),add_export
symbol,activityObserverServiceProvider,lib/core/services/activity_observer_service.dart,349,12†lib\core\services\activity_observer_service.dart:349,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,allActivities,lib/core/services/activity_tracker_v3.dart,140,12†lib\core\services\activity_tracker_v3.dart:140,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,deactivateActivity,lib/core/services/activity_tracker_v3.dart,187,12†lib\core\services\activity_tracker_v3.dart:187,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,activitiesToDelete,lib/core/services/activity_tracker_v3.dart,211,12†lib\core\services\activity_tracker_v3.dart:211,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,clearAllActivities,lib/core/services/activity_tracker_v3.dart,238,12†lib\core\services\activity_tracker_v3.dart:238,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,metadataString,lib/core/services/activity_tracker_v3.dart,273,12†lib\core\services\activity_tracker_v3.dart:273,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,contexts,lib/core/services/aggregation/data_consistency_manager.dart,30,12†lib\core\services\aggregation\data_consistency_manager.dart:30,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,validContexts,lib/core/services/aggregation/data_consistency_manager.dart,67,12†lib\core\services\aggregation\data_consistency_manager.dart:67,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,activePlantCounts,lib/core/services/aggregation/data_consistency_manager.dart,88,12†lib\core\services\aggregation\data_consistency_manager.dart:88,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,Inconsistency,lib/core/services/aggregation/data_consistency_manager.dart,189,12†lib\core\services\aggregation\data_consistency_manager.dart:189,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,InconsistencySeverity,lib/core/services/aggregation/data_consistency_manager.dart,208,12†lib\core\services\aggregation\data_consistency_manager.dart:208,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,ResolutionStrategy,lib/core/services/aggregation/data_consistency_manager.dart,216,12†lib\core\services\aggregation\data_consistency_manager.dart:216,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,GardenIntelligenceCache,lib/core/services/aggregation/garden_aggregation_hub.dart,34,12†lib\core\services\aggregation\garden_aggregation_hub.dart:34,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,markAccessed,lib/core/services/aggregation/garden_aggregation_hub.dart,48,12†lib\core\services\aggregation\garden_aggregation_hub.dart:48,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,setIntelligenceCache,lib/core/services/aggregation/garden_aggregation_hub.dart,487,12†lib\core\services\aggregation\garden_aggregation_hub.dart:487,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,invalidateGardenIntelligenceCache,lib/core/services/aggregation/garden_aggregation_hub.dart,512,12†lib\core\services\aggregation\garden_aggregation_hub.dart:512,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,clearAllIntelligenceCaches,lib/core/services/aggregation/garden_aggregation_hub.dart,551,12†lib\core\services\aggregation\garden_aggregation_hub.dart:551,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,intelligenceStats,lib/core/services/aggregation/garden_aggregation_hub.dart,621,12†lib\core\services\aggregation\garden_aggregation_hub.dart:621,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,GardenAggregationHubException,lib/core/services/aggregation/garden_aggregation_hub.dart,795,12†lib\core\services\aggregation\garden_aggregation_hub.dart:795,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,calculateMetrics,lib/core/services/aggregation/migration_progress_tracker.dart,36,12†lib\core\services\aggregation\migration_progress_tracker.dart:36,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,startMigration,lib/core/services/aggregation/migration_progress_tracker.dart,87,12†lib\core\services\aggregation\migration_progress_tracker.dart:87,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,updateProgress,lib/core/services/aggregation/migration_progress_tracker.dart,99,12†lib\core\services\aggregation\migration_progress_tracker.dart:99,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,currentStatus,lib/core/services/aggregation/migration_progress_tracker.dart,100,12†lib\core\services\aggregation\migration_progress_tracker.dart:100,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,completeMigration,lib/core/services/aggregation/migration_progress_tracker.dart,113,12†lib\core\services\aggregation\migration_progress_tracker.dart:113,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,failMigration,lib/core/services/aggregation/migration_progress_tracker.dart,129,12†lib\core\services\aggregation\migration_progress_tracker.dart:129,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,MigrationStatus,lib/core/services/aggregation/migration_progress_tracker.dart,153,12†lib\core\services\aggregation\migration_progress_tracker.dart:153,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,MigrationMetrics,lib/core/services/aggregation/migration_progress_tracker.dart,199,12†lib\core\services\aggregation\migration_progress_tracker.dart:199,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,getActivePlantIds,lib/core/services/garden_data_aggregation_service.dart,35,12†lib\core\services\garden_data_aggregation_service.dart:35,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,getHistoricalPlantIds,lib/core/services/garden_data_aggregation_service.dart,140,12†lib\core\services\garden_data_aggregation_service.dart:140,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,calculateGardenStats,lib/core/services/garden_data_aggregation_service.dart,211,12†lib\core\services\garden_data_aggregation_service.dart:211,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,aggregateSoilInfo,lib/core/services/garden_data_aggregation_service.dart,325,12†lib\core\services\garden_data_aggregation_service.dart:325,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,hasUrgentAction,lib/core/services/garden_event_observer_service.dart,170,12†lib\core\services\garden_event_observer_service.dart:170,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,analysisTriggered,lib/core/services/garden_event_observer_service.dart,291,12†lib\core\services\garden_event_observer_service.dart:291,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,EventObserverStats,lib/core/services/garden_event_observer_service.dart,407,12†lib\core\services\garden_event_observer_service.dart:407,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,GardenEventSystemValidator,lib/core/services/garden_event_system_validator.dart,17,12†lib\core\services\garden_event_system_validator.dart:17,unused_symbols,high,likely_orphan,[],export missing,archive
symbol,allPassed,lib/core/services/garden_event_system_validator.dart,45,12†lib\core\services\garden_event_system_validator.dart:45,unused_symbols,high,likely_orphan,[],export missing,archive
