File,Key,Action,Value Preview,ICU Warning
intl_en.arb,@calibration_save_profile,Added,"OrderedDict([('description', 'Bouton pour sauvegar",
intl_en.arb,@calibration_export_profile,Added,"OrderedDict([('description', 'Bouton pour exporter",
intl_en.arb,@calibration_import_profile,Added,"OrderedDict([('description', 'Bouton pour importer",
intl_en.arb,@calibration_reset_profile,Added,"OrderedDict([('description', 'Bouton pour réinitia",
intl_en.arb,@calibration_refresh_profile,Added,"OrderedDict([('description', ""Bouton pour actualis",
intl_en.arb,@calibration_key_device,Added,"OrderedDict([('description', ""Label affichant la c",
intl_en.arb,@calibration_no_profile,Added,"OrderedDict([('description', 'Message si aucun pro",
intl_en.arb,@calibration_image_settings_title,Added,"OrderedDict([('description', 'Titre section réglag",
intl_en.arb,@calibration_pos_x,Added,"OrderedDict([('description', 'Label position X')])",
intl_en.arb,@calibration_pos_y,Added,"OrderedDict([('description', 'Label position Y')])",
intl_en.arb,@calibration_zoom,Added,"OrderedDict([('description', 'Label zoom')])",
intl_en.arb,@calibration_reset_image,Added,"OrderedDict([('description', 'Bouton reset image d",
intl_en.arb,@calibration_dialog_confirm_title,Added,"OrderedDict([('description', 'Titre dialog confirm",
intl_en.arb,@calibration_dialog_delete_profile,Added,"OrderedDict([('description', 'Contenu dialog suppr",
intl_en.arb,@calibration_action_delete,Added,"OrderedDict([('description', 'Bouton supprimer')])",
intl_en.arb,@calibration_snack_no_profile,Added,"OrderedDict([('description', 'SnackBar aucun profi",
intl_en.arb,@calibration_snack_profile_copied,Added,"OrderedDict([('description', 'SnackBar profil copi",
intl_en.arb,@calibration_snack_clipboard_empty,Added,"OrderedDict([('description', 'SnackBar presse-papi",
intl_en.arb,@calibration_snack_profile_imported,Added,"OrderedDict([('description', 'SnackBar profil impo",
intl_en.arb,@calibration_snack_import_error,Added,"OrderedDict([('description', 'SnackBar erreur impo",
intl_en.arb,@calibration_snack_profile_deleted,Added,"OrderedDict([('description', 'SnackBar profil supp",
intl_en.arb,@calibration_snack_no_calibration,Added,"OrderedDict([('description', 'SnackBar aucune cali",
intl_en.arb,@calibration_snack_saved_as_profile,Added,"OrderedDict([('description', 'SnackBar calibration",
intl_en.arb,@calibration_snack_save_error,Added,"OrderedDict([('description', 'SnackBar erreur sauv",
intl_en.arb,@calibration_overlay_error_save,Added,"OrderedDict([('placeholders', OrderedDict([('error",
intl_en.arb,@garden_management_create_title,Added,"OrderedDict([('description', 'Titre page création ",
intl_en.arb,@garden_management_edit_title,Added,"OrderedDict([('description', 'Titre page modificat",
intl_en.arb,@garden_management_name_label,Added,"OrderedDict([('description', 'Label champ nom jard",
intl_en.arb,@garden_management_desc_label,Added,"OrderedDict([('description', 'Label champ descript",
intl_en.arb,@garden_management_image_label,Added,"OrderedDict([('description', 'Label section image'",
intl_en.arb,@garden_management_image_url_label,Added,"OrderedDict([('description', 'Label champ URL imag",
intl_en.arb,@garden_management_image_preview_error,Added,"OrderedDict([('description', 'Erreur preview image",
intl_en.arb,@garden_management_create_submit,Added,"OrderedDict([('description', 'Bouton soumettre cré",
intl_en.arb,@garden_management_create_submitting,Added,"OrderedDict([('description', 'Bouton pendant soumi",
intl_en.arb,@garden_management_created_success,Added,"OrderedDict([('description', 'SnackBar succès créa",
intl_en.arb,@garden_management_create_error,Added,"OrderedDict([('description', 'SnackBar erreur créa",
intl_en.arb,@garden_management_delete_confirm_title,Added,"OrderedDict([('description', 'Titre dialog suppres",
intl_en.arb,@garden_management_delete_confirm_body,Added,"OrderedDict([('description', 'Corps dialog suppres",
intl_en.arb,@garden_management_delete_success,Added,"OrderedDict([('description', 'SnackBar succès supp",
intl_en.arb,@garden_management_archived_tag,Added,"OrderedDict([('description', 'Tag jardin archivé')",
intl_en.arb,@garden_management_beds_title,Added,"OrderedDict([('description', 'Titre section parcel",
intl_en.arb,@garden_management_no_beds_title,Added,"OrderedDict([('description', 'Titre état vide parc",
intl_en.arb,@garden_management_no_beds_desc,Added,"OrderedDict([('description', 'Description état vid",
intl_en.arb,@garden_management_add_bed_label,Added,"OrderedDict([('description', 'Bouton ajouter parce",
intl_en.arb,@garden_management_stats_beds,Added,"OrderedDict([('description', 'Label stat nombre pa",
intl_en.arb,@garden_management_stats_area,Added,"OrderedDict([('description', 'Label stat surface t",
intl_en.arb,@dashboard_weather_stats,Added,"OrderedDict([('description', 'Label dashboard: Sta",
intl_en.arb,@dashboard_soil_temp,Added,"OrderedDict([('description', 'Label dashboard: Tem",
intl_en.arb,@dashboard_air_temp,Added,"OrderedDict([('description', 'Label dashboard: Tem",
intl_en.arb,@dashboard_statistics,Added,"OrderedDict([('description', 'Label dashboard: Sta",
intl_en.arb,@dashboard_calendar,Added,"OrderedDict([('description', 'Label dashboard: Cal",
intl_en.arb,@dashboard_activities,Added,"OrderedDict([('description', 'Label dashboard: Act",
intl_en.arb,@dashboard_weather,Added,"OrderedDict([('description', 'Label dashboard: Mét",
intl_en.arb,@dashboard_settings,Added,"OrderedDict([('description', 'Label dashboard: Par",
intl_en.arb,@dashboard_garden_n,Added,"OrderedDict([('description', 'Label dashboard: Jar",
intl_en.arb,@dashboard_garden_created,Added,"OrderedDict([('description', 'SnackBar création ja",
intl_en.arb,@dashboard_garden_create_error,Added,"OrderedDict([('description', 'SnackBar erreur créa",
intl_en.arb,@calendar_title,Added,"OrderedDict([('description', 'Titre page calendrie",
intl_en.arb,@calendar_refreshed,Added,"OrderedDict([('description', 'SnackBar actualisati",
intl_en.arb,@calendar_new_task_tooltip,Added,"OrderedDict([('description', 'Tooltip bouton nouve",
intl_en.arb,@calendar_task_saved_title,Added,"OrderedDict([('description', 'Titre dialog tâche e",
intl_en.arb,@calendar_ask_export_pdf,Added,"OrderedDict([('description', 'Contenu dialog expor",
intl_en.arb,@calendar_task_modified,Added,"OrderedDict([('description', 'SnackBar tâche modif",
intl_en.arb,@calendar_delete_confirm_title,Added,"OrderedDict([('description', 'Titre dialog suppres",
intl_en.arb,@calendar_delete_confirm_content,Added,"OrderedDict([('description', 'Contenu dialog suppr",
intl_en.arb,@calendar_task_deleted,Added,"OrderedDict([('description', 'SnackBar tâche suppr",
intl_en.arb,@calendar_restore_error,Added,"OrderedDict([('description', 'Erreur restauration'",
intl_en.arb,@calendar_delete_error,Added,"OrderedDict([('description', 'Erreur suppression')",
intl_en.arb,@calendar_action_assign,Added,"OrderedDict([('description', 'Action sheet assigne",
intl_en.arb,@calendar_assign_title,Added,"OrderedDict([('description', 'Titre dialog assigna",
intl_en.arb,@calendar_assign_hint,Added,"OrderedDict([('description', 'Hint dialog assignat",
intl_en.arb,@calendar_assign_field,Added,"OrderedDict([('description', 'Label champ assignat",
intl_en.arb,@calendar_task_assigned,Added,"OrderedDict([('description', 'SnackBar tâche attri",
intl_en.arb,@calendar_assign_error,Added,"OrderedDict([('description', 'Erreur attribution')",
intl_en.arb,@calendar_export_error,Added,"OrderedDict([('description', 'Erreur export PDF'),",
intl_en.arb,@calendar_previous_month,Added,"OrderedDict([('description', 'Tooltip mois précéde",
intl_en.arb,@calendar_next_month,Added,"OrderedDict([('description', 'Tooltip mois suivant",
intl_en.arb,@calendar_limit_reached,Added,"OrderedDict([('description', 'Tooltip limite navig",
intl_en.arb,@calendar_drag_instruction,Added,"OrderedDict([('description', 'Instruction navigati",
intl_en.arb,@common_refresh,Added,"OrderedDict([('description', 'Tooltip actualiser')",
intl_en.arb,@common_yes,Added,"OrderedDict([('description', 'Bouton Oui')])",
intl_en.arb,@common_no,Added,"OrderedDict([('description', 'Bouton Non')])",
intl_en.arb,@common_delete,Added,"OrderedDict([('description', 'Bouton Supprimer')])",
intl_en.arb,@common_edit,Added,"OrderedDict([('description', 'Bouton Modifier')])",
intl_en.arb,@common_undo,Added,"OrderedDict([('description', 'Action Annuler (Undo",
intl_en.arb,@common_error_prefix,Added,"OrderedDict([('description', 'Préfixe erreur'), ('",
intl_en.arb,@common_retry,Added,"OrderedDict([('description', 'Bouton réessayer')])",
